0.000000	0.000000	0.000000	0.000000
0.000000	0.016853	1.211921	0.000000
0.100195	0.016853	1.215879	0.000000	
0.199111	0.016465	1.218618	-0.000687	
0.299527	0.010413	1.219118	0.000000	
0.399159	0.010057	1.221979	0.000000	
0.499362	0.015580	1.225309	-0.000687	
0.600036	0.011287	1.219776	0.000000	
0.699482	0.013420	1.222780	-0.000687	
0.799079	0.009865	1.224360	0.000000	
0.899693	0.007749	1.226215	0.000000	
0.999621	0.008240	1.222452	0.000000	
1.099767	0.006433	1.222512	0.000000	
1.199972	0.015712	1.224114	0.000000	
1.300055	0.012860	1.224359	0.000000	
1.399937	0.013160	1.220111	0.000000	
1.499999	0.011031	1.225139	0.000000	
1.599905	0.013063	1.219618	-0.000687	
1.699543	0.015962	1.219975	0.000000	
1.800130	0.012872	1.217165	-0.000687	
1.900229	0.012401	1.223285	-0.000687	
1.999152	0.006243	1.223614	0.000000	
2.099355	0.018153	1.227500	-0.000687	
2.199712	0.017695	1.227023	0.000000	
2.299611	0.016268	1.224520	-0.000687	
2.399492	0.018179	1.221895	0.000000	
2.499574	0.012935	1.220031	0.000000	
2.599657	0.009121	1.213098	0.000000	
2.699710	0.010091	1.208372	0.000000	
2.799796	0.011113	1.206360	0.000000	
2.899827	0.013808	1.217805	0.000000	
2.999653	0.008815	1.217234	0.000000	
3.099854	0.014988	1.221252	0.000000	
3.199996	0.014230	1.215537	0.000000	
3.300198	0.009662	1.216491	0.000000	
3.400236	0.011879	1.216468	0.000000	
3.499362	0.009636	1.210931	0.000000	
3.599962	0.015898	1.209499	0.000000	
3.699537	0.009966	1.209613	0.000000	
3.800071	0.010268	1.214697	0.000000	
3.899739	0.018158	1.219198	0.000000	
4.000314	0.019336	1.226779	0.000000	
4.099192	0.014898	1.219824	-0.000687	
4.200306	0.011503	1.216454	-0.000687	
4.299307	0.014153	1.215905	0.000000	
4.399473	0.014211	1.224204	-0.000687	
4.500140	0.015960	1.222527	0.000000	
4.600144	0.013057	1.226113	-0.000687	
4.699402	0.010337	1.228666	0.000000	
4.799650	0.013291	1.227438	0.000000	
4.899950	0.016724	1.226414	0.000000	
4.999825	0.012520	1.214436	-0.000687	
5.099299	0.007872	1.216921	0.000000	
5.199988	0.012382	1.214471	0.000000	
5.299491	0.009083	1.217947	0.000000	
5.400280	0.007146	1.216769	0.000000	
5.499553	0.016229	1.222870	0.000000	
5.600148	0.012183	1.218911	0.000000	
5.699236	0.011400	1.222247	0.000000	
5.799602	0.015415	1.219990	0.000000	
5.899004	0.017828	1.222605	0.000000	
5.999835	0.018289	1.212969	-0.001375	
6.099411	0.008837	1.220506	0.000000	
6.199047	0.022357	1.224755	-0.000687	
6.299488	0.018001	1.227620	-0.004163	
6.399798	0.030983	1.237671	-0.009091	
6.499360	0.038718	1.252023	-0.008365	
6.599735	0.031785	1.246054	-0.006264	
6.699635	0.028241	1.237959	-0.061773	
6.800129	0.032553	1.243927	-0.141962	
6.900171	0.019756	1.237938	-0.370988	
6.999414	0.040976	1.263975	-0.457934	
7.099841	0.014032	1.266683	-0.523065	
7.199240	0.021504	1.277477	-0.576926	
7.299942	0.030303	1.283249	-0.663575	
7.399465	0.017081	1.287058	-0.703416	
7.500507	0.032413	1.317643	-0.762440	
7.599561	0.025049	1.331597	-0.792775	
7.699450	0.023446	1.308328	-0.834225	
7.799386	0.030288	1.337656	-0.856079	
7.899493	0.024791	1.352407	-0.882978	
7.999313	0.029647	1.373791	-0.900098	
8.100148	0.017535	1.397066	-0.919358	
8.199460	0.024287	1.415699	-0.939954	
8.300179	0.049677	1.403559	-0.963118	
8.399272	0.023563	1.422374	-0.966102	
8.499390	0.039270	1.437159	-0.980433	
8.599360	0.032757	1.468368	-0.993624	
8.700027	0.048941	1.501050	-0.998450	
8.799999	0.048819	1.502000	-1.002550	
8.900114	0.027267	1.510094	-1.012719	
8.999448	0.042284	1.549191	-1.012499	
9.098983	0.059398	1.533068	-1.033032	
9.200252	0.038095	1.543088	-1.032968	
9.299384	0.036578	1.450857	-1.049791	
9.400045	0.046279	1.443812	-1.048884	
9.500301	0.046221	1.460031	-1.069182	
9.599335	0.061142	1.404892	-1.070650	
9.699599	0.050873	1.413507	-1.071235	
9.799606	0.050693	1.419477	-1.080950	
9.899894	0.050357	1.435212	-1.092235	
9.999420	0.050124	1.412134	-1.085064	
10.100264	0.046483	1.381661	-1.083548	
10.200129	0.053452	1.339048	-1.090787	
10.299479	0.042125	1.286924	-1.094004	
10.400184	0.041283	1.236780	-1.094097	
10.500484	0.046458	1.262170	-1.111348	
10.599277	0.026219	1.223314	-1.105435	
10.699656	0.057970	1.176075	-1.104762	
10.800317	0.045768	1.123206	-1.092249	
10.900329	0.037234	1.054767	-1.099980	
11.000406	0.061496	1.033781	-1.089567	
11.100109	0.048136	0.957840	-1.081865	
11.200118	0.054518	0.904466	-1.070453	
11.300167	0.061619	0.854895	-1.083503	
11.399306	0.047786	0.781993	-1.066436	
11.499375	0.053764	0.709724	-1.055259	
11.599782	0.039620	0.651003	-1.056960	
11.699388	0.017625	0.573930	-1.042292	
11.799745	0.060864	0.514130	-1.029661	
11.900354	0.058660	0.463982	-1.009665	
11.999706	0.050706	0.364830	-0.996761	
12.100191	0.068558	0.264060	-0.975961	
12.199414	0.033160	0.180605	-0.969126	
12.299896	0.052365	0.130278	-0.956262	
12.400097	0.086678	0.028255	-0.935383	
12.500052	0.056258	-0.102325	-0.920418	
12.600232	0.058800	-0.187345	-0.914855	
12.700164	0.058063	-0.286418	-0.895624	
12.799711	0.018851	-0.363069	-0.878465	
12.899738	0.048263	-0.493804	-0.864616	
12.999829	0.038734	-0.617095	-0.842519	
13.099837	0.016524	-0.697966	-0.836645	
13.199843	0.021727	-0.767054	-0.821148	
13.299975	0.061987	-0.897296	-0.802058	
13.400215	0.072607	-1.025943	-0.770075	
13.499642	0.089807	-1.094744	-0.729298	
13.600205	0.082930	-1.223491	-0.682100	
13.699704	0.073883	-1.341738	-0.649337	
13.799932	0.051868	-1.458741	-0.604968	
13.899702	0.050897	-1.572767	-0.584942	
14.000154	0.054449	-1.662386	-0.546188	
14.099977	0.022473	-1.740409	-0.529872	
14.199194	0.007098	-1.830524	-0.537214	
14.299266	0.013092	-1.909433	-0.538110	
14.399991	0.005789	-2.016202	-0.534220	
14.500163	0.011302	-2.145572	-0.538593	
14.600001	0.013654	-2.227885	-0.536506	
14.700125	0.015786	-2.339880	-0.545081	
14.800400	0.012835	-2.435523	-0.550141	
14.900506	0.004563	-2.543916	-0.554162	
14.999708	0.011434	-2.674320	-0.559676	
15.099102	0.005438	-2.820719	-0.558925	
15.199508	0.005852	-2.932370	-0.573608	
15.300037	0.010162	-3.072330	-0.574505	
15.399617	0.011036	-3.203164	-0.589928	
15.499475	0.011938	-3.344600	-0.585726	
15.599589	0.014193	-3.463558	-0.601564	
15.699619	0.017337	-3.585318	-0.612162	
15.799497	0.010555	-3.667845	-0.627688	
15.900098	0.006574	-3.836456	-0.651837	
15.999286	0.031722	-4.020748	-0.669605	
16.099486	0.033727	-4.136197	-0.669995	
16.199933	0.029963	-4.237798	-0.700370	
16.299535	0.007088	-4.372679	-0.733533	
16.399596	0.013838	-4.553619	-0.766150	
16.499756	0.011991	-4.649522	-0.785629	
16.599806	0.004822	-4.775320	-0.814083	
16.699830	0.006058	-4.901837	-0.850371	
16.800103	0.003948	-5.015467	-0.897383	
16.900125	-0.004246	-5.172021	-0.919261	
16.999850	-0.005290	-5.269397	-0.967077	
17.100320	-0.005856	-5.407050	-0.978826	
17.199761	-0.004885	-5.622909	-1.019028	
17.300526	-0.002046	-5.687973	-1.044952	
17.400314	-0.020301	-5.745742	-1.084959	
17.500038	-0.006181	-5.884393	-1.085422	
17.599446	-0.032153	-6.023608	-1.110567	
17.700057	-0.034281	-6.078573	-1.121081	
17.799518	-0.024865	-6.229018	-1.148561	
17.900385	-0.008154	-6.368249	-1.163175	
17.999452	-0.032426	-6.477054	-1.193443	
18.099418	-0.020358	-6.564270	-1.201974	
18.200434	-0.028143	-6.635192	-1.231851	
18.300071	-0.034783	-6.661077	-1.245959	
18.399618	-0.021396	-6.770367	-1.259457	
18.499906	-0.033472	-6.784328	-1.259857	
18.599410	-0.032103	-6.881386	-1.267920	
18.700083	-0.038301	-6.966986	-1.274545	
18.800559	-0.025769	-7.031677	-1.275164	
18.899721	-0.045238	-7.078907	-1.283164	
18.999613	-0.044211	-7.105365	-1.294210	
19.099756	-0.034997	-7.227357	-1.283676	
19.199859	-0.029734	-7.303878	-1.278484	
19.299775	-0.037557	-7.201574	-1.274190	
19.399907	-0.039905	-7.273365	-1.273239	
19.499690	-0.051571	-7.219930	-1.260448	
19.599771	-0.034551	-7.340641	-1.249992	
19.700314	-0.039596	-7.250478	-1.235646	
19.799722	-0.007317	-7.289929	-1.219871	
19.899584	-0.043161	-7.284587	-1.224629	
19.999628	-0.054289	-7.182926	-1.211175	
20.099401	-0.039528	-7.248570	-1.191252	
20.200157	-0.033799	-7.193902	-1.170330	
20.300049	-0.042803	-7.151588	-1.144986	
20.399688	-0.034297	-7.187238	-1.120120	
20.499954	-0.029306	-7.164110	-1.109898	
20.600094	-0.051194	-7.131131	-1.081322	
20.700204	-0.036954	-7.054734	-1.052269	
20.800054	-0.067386	-7.002643	-1.024200	
20.900047	-0.037604	-6.956365	-1.000075	
20.999943	-0.035454	-6.922843	-0.968039	
21.099612	-0.030820	-6.758786	-0.951864	
21.200175	-0.014157	-6.748045	-0.917727	
21.299591	-0.034214	-6.684516	-0.908153	
21.400422	-0.033914	-6.636000	-0.879397	
21.500388	-0.030677	-6.639309	-0.851796	
21.599828	-0.038897	-6.581750	-0.813456	
21.700479	-0.026667	-6.470952	-0.781809	
21.800585	-0.012811	-6.416679	-0.759591	
21.900391	-0.008622	-6.281245	-0.734286	
21.999437	-0.024295	-6.145176	-0.712949	
22.099991	-0.045139	-6.064187	-0.664519	
22.199373	-0.015975	-5.982413	-0.651094	
22.299989	-0.016250	-5.867164	-0.643323	
22.400101	-0.006423	-5.775681	-0.595814	
22.500245	-0.012704	-5.677590	-0.590613	
22.599310	-0.013788	-5.601131	-0.556968	
22.699526	-0.005935	-5.477730	-0.530327	
22.799659	-0.002888	-5.315184	-0.518730	
22.899812	-0.010831	-5.114347	-0.502712	
23.000094	-0.009489	-5.024745	-0.477134	
23.100203	-0.005689	-4.872248	-0.460467	
23.199957	0.004464	-4.775216	-0.438185	
23.300628	0.004410	-4.647916	-0.428987	
23.400590	0.004273	-4.537442	-0.414679	
23.499635	-0.011877	-4.406765	-0.395107	
23.600365	-0.001585	-4.252358	-0.384222	
23.700460	0.004974	-4.114183	-0.381965	
23.800629	-0.006493	-3.958270	-0.366712	
23.900018	-0.002942	-3.813149	-0.360380	
24.000148	-0.033399	-3.612435	-0.352351	
24.100250	-0.023911	-3.462035	-0.349821	
24.200226	-0.016678	-3.292952	-0.335607	
24.299763	-0.010221	-3.126295	-0.341754	
24.399288	-0.005844	-2.959670	-0.351337	
24.499731	-0.011617	-2.776876	-0.345824	
24.600171	-0.022647	-2.606212	-0.344903	
24.700144	-0.007556	-2.435393	-0.350933	
24.800300	-0.005701	-2.278919	-0.342982	
24.900265	-0.004398	-2.121396	-0.351113	
25.000510	-0.026717	-1.951514	-0.349154	
25.099933	-0.043692	-1.775864	-0.341710	
25.200411	-0.038447	-1.632550	-0.350299	
25.299676	-0.054006	-1.502542	-0.329382	
25.400519	-0.072653	-1.336039	-0.322445	
25.499640	-0.060856	-1.200315	-0.310969	
25.600371	-0.057692	-1.071992	-0.311569	
25.699964	-0.059946	-0.917675	-0.322088	
25.799811	-0.063251	-0.771877	-0.304700	
25.899982	-0.057228	-0.621962	-0.309838	
26.000290	-0.037605	-0.501988	-0.317584	
26.099989	-0.048174	-0.371714	-0.299376	
26.199474	-0.043525	-0.223047	-0.317159	
26.300199	-0.044321	-0.090989	-0.314308	
26.400255	-0.038902	0.016548	-0.299342	
26.500527	-0.022411	0.125948	-0.313571	
26.600185	-0.006470	0.257811	-0.321069	
26.700325	0.007097	0.372544	-0.321717	
26.800420	0.005138	0.477583	-0.345813	
26.899704	0.010439	0.588688	-0.355436	
26.999834	0.016939	0.694425	-0.374642	
27.100135	0.020142	0.835245	-0.412266	
27.200472	-0.007551	0.981771	-0.411008	
27.300594	0.011808	1.106718	-0.435572	
27.400777	0.008407	1.235626	-0.469227	
27.500025	0.002123	1.347363	-0.491519	
27.600194	0.008517	1.496500	-0.512310	
27.700549	-0.001429	1.610053	-0.535655	
27.799907	-0.015800	1.747908	-0.557314	
27.899495	-0.043903	1.862850	-0.563812	
27.999933	-0.031739	1.997488	-0.593436	
28.100015	-0.021272	2.133009	-0.609079	
28.199956	-0.039040	2.234923	-0.603024	
28.299996	-0.028981	2.362339	-0.603273	
28.399638	-0.036419	2.503757	-0.606958	
28.500250	-0.035067	2.606158	-0.599982	
28.599610	-0.024669	2.733170	-0.606080	
28.700287	-0.033556	2.834508	-0.602088	
28.799608	-0.033905	2.937904	-0.590754	
28.899848	-0.017041	3.017053	-0.611052	
28.999936	-0.027083	3.100967	-0.598202	
29.099715	-0.031935	3.170884	-0.574277	
29.200325	-0.033521	3.222938	-0.563645	
29.299861	-0.022906	3.298704	-0.566448	
29.399600	-0.031037	3.400812	-0.547607	
29.500103	-0.030013	3.452937	-0.523330	
29.599746	-0.026204	3.523845	-0.523657	
29.699991	-0.030714	3.562395	-0.499990	
29.799891	-0.012503	3.642240	-0.491951	
29.899578	-0.000864	3.700823	-0.484975	
29.999720	0.020515	3.768895	-0.482240	
30.100673	0.018969	3.828626	-0.492175	
30.200005	0.025988	3.868505	-0.505132	
30.299741	0.042985	3.917747	-0.535702	
30.399839	0.029750	4.008676	-0.567529	
30.499687	0.032346	4.035790	-0.597631	
30.600310	0.042081	4.080132	-0.624802	
30.700502	0.025784	4.170425	-0.654568	
30.800101	0.024602	4.226526	-0.676616	
30.899627	0.037365	4.276784	-0.706888	
30.999990	0.015587	4.285023	-0.711792	
31.100038	0.008103	4.343715	-0.703013	
31.199927	-0.003970	4.351246	-0.684430	
31.300296	0.006297	4.344873	-0.655718	
31.399744	0.002717	4.408116	-0.631168	
31.500318	0.000128	4.439965	-0.591834	
31.600576	0.004330	4.484062	-0.566480	
31.700584	0.008768	4.525217	-0.513579	
