PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
1,0,0,0,4.67,-33.87,0,0,0,0
2,0,0,0,4.63,-33.35,0,0,0,0
3,0,0,0,4.55,-32.35,0,0,0,0
4,0,0,0,4.47,-31.35,0,0,0,0
5,0,0,0,4.39,-30.36,0,0,0,0
6,0,0,0,4.32,-29.36,0,0,0,0
7,0,0,0,4.24,-28.36,0,0,0,0
8,0,0,0,4.16,-27.36,0,0,0,0
9,0,0,0,4.09,-26.37,0,0,0,0
10,0,0,0,4.01,-25.37,0,0,0,0
11,0,0,0,3.93,-24.37,0,0,0,0
12,0,0,0,3.85,-23.38,0,0,0,0
13,0,0,0,3.78,-22.38,0,0,0,0
14,0,0,0,3.7,-21.38,0,0,0,0
15,0,0,0,3.62,-20.39,0,0,0,0
16,0,0,0,3.54,-19.39,0,0,0,0
17,0,0,0,3.47,-18.39,0,0,0,0
18,0,0,0,3.39,-17.39,0,0,0,0
19,0,0,0,3.31,-16.4,0,0,0,0
20,0,0,0,3.24,-15.4,0,0,0,0
21,0,0,0,3.16,-14.4,0,0,0,0
22,0,0,0,3.08,-13.41,0,0,0,0
23,0,0,0,3,-12.41,0,0,0,0
24,0,0,0,2.93,-11.41,0,0,0,0
25,0,0,0,2.85,-10.42,0,0,0,0
26,0,0,0,2.77,-9.42,0,0,0,0
27,0,0,0,2.7,-8.42,0,0,0,0
28,0,0,0,2.62,-7.42,0,0,0,0
29,0,0,0,2.54,-6.43,0,0,0,0
30,0,0,0,2.46,-5.43,0,0,0,0
31,0,0,0,2.39,-4.43,0,0,0,0
32,0,0,0,2.31,-3.44,0,0,0,0
33,0,0,0,2.23,-2.44,0,0,0,0
34,0,0,0,2.15,-1.44,0,0,0,0
35,0,0,0,2.08,-0.45,0,0,0,0
36,0,0,0,2,0.55,0,0,0,0
37,0,0,0,1.92,1.55,0,0,0,0
38,0,0,0,1.85,2.55,0,0,0,0
39,0,0,0,1.77,3.54,0,0,0,0
40,0,0,0,1.69,4.54,0,0,0,0
41,0,0,0,1.61,5.54,0,0,0,0
42,0,0,0,1.54,6.53,0,0,0,0
43,0,0,0,1.46,7.53,0,0,0,0
44,0,0,0,1.38,8.53,0,0,0,0
45,0,0,0,1.31,9.52,0,0,0,0
46,0,0,0,1.24,10.35,0,0,0,0
47,0,0,0,1.21,11.35,0,0,0,0
48,0,0,0,1.27,12.35,0,0,0,0
49,0,0,0,1.41,13.33,0,0,0,0
50,0,0,0,1.64,14.31,0,0,0,0
51,0,0,0,1.93,15.27,0,0,0,0
52,0,0,0,2.3,16.2,0,0,0,0
53,0,0,0,2.73,17.1,0,0,0,0
54,0,0,0,3.21,17.98,0,0,0,0
55,0,0,0,3.74,18.82,0,0,0,0
56,0,0,0,4.33,19.63,0,0,0,0
57,0,0,0,4.95,20.41,0,0,0,0
58,0,0,0,5.62,21.16,0,0,0,0
59,0,0,0,6.32,21.87,0,0,0,0
60,0,0,0,7.05,22.56,0,0,0,0
61,0,0,0,7.81,23.2,0,0,0,0
62,0,0,0,8.6,23.82,0,0,0,0
63,0,0,0,9.42,24.39,0,0,0,0
64,0,0,0,10.26,24.94,0,0,0,0
65,0,0,0,11.12,25.44,0,0,0,0
66,0,0,0,12,25.92,0,0,0,0
67,0,0,0,12.9,26.35,0,0,0,0
68,0,0,0,13.82,26.74,0,0,0,0
69,0,0,0,14.75,27.1,0,0,0,0
70,0,0,0,15.7,27.42,0,0,0,0
71,0,0,0,16.67,27.69,0,0,0,0
72,0,0,0,17.64,27.92,0,0,0,0
73,0,0,0,18.62,28.11,0,0,0,0
74,0,0,0,19.61,28.26,0,0,0,0
75,0,0,0,20.6,28.35,0,0,0,0
76,0,0,0,21.6,28.41,0,0,0,0
77,0,0,0,21.94,28.41,0,0,0,0
78,0,0,0,22.94,28.42,0,0,0,0
79,0,0,0,23.94,28.43,0,0,0,0
80,0,0,0,24.94,28.44,0,0,0,0
81,0,0,0,25.94,28.45,0,0,0,0
82,0,0,0,26.94,28.46,0,0,0,0
83,0,0,0,27.94,28.48,0,0,0,0
84,0,0,0,28.94,28.49,0,0,0,0
85,0,0,0,29.94,28.5,0,0,0,0
86,0,0,0,30.94,28.51,0,0,0,0
87,0,0,0,31.94,28.52,0,0,0,0
88,0,0,0,32.94,28.53,0,0,0,0
89,0,0,0,33.94,28.54,0,0,0,0
90,0,0,0,34.94,28.55,0,0,0,0
91,0,0,0,35.94,28.56,0,0,0,0
92,0,0,0,36.94,28.57,0,0,0,0
93,0,0,0,37.94,28.58,0,0,0,0
94,0,0,0,38.94,28.59,0,0,0,0
95,0,0,0,39.94,28.6,0,0,0,0
96,0,0,0,40.94,28.61,0,0,0,0
97,0,0,0,41.94,28.62,0,0,0,0
98,0,0,0,42.94,28.63,0,0,0,0
99,0,0,0,43.94,28.64,0,0,0,0
100,0,0,0,44.94,28.65,0,0,0,0
101,0,0,0,45.94,28.66,0,0,0,0
102,0,0,0,46.94,28.67,0,0,0,0
103,0,0,0,47.94,28.68,0,0,0,0
104,0,0,0,48.94,28.69,0,0,0,0
105,0,0,0,49.94,28.7,0,0,0,0
106,0,0,0,50.94,28.71,0,0,0,0
107,0,0,0,51.94,28.71,0,0,0,0
108,0,0,0,52.94,28.71,0,0,0,0
109,0,0,0,53.94,28.71,0,0,0,0
110,0,0,0,54.94,28.7,0,0,0,0
111,0,0,0,55.94,28.7,0,0,0,0
112,0,0,0,56.94,28.7,0,0,0,0
113,0,0,0,57.94,28.7,0,0,0,0
114,0,0,0,58.94,28.7,0,0,0,0
115,0,0,0,59.94,28.7,0,0,0,0
116,0,0,0,60.94,28.7,0,0,0,0
117,0,0,0,61.91,28.7,0,0,0,0
118,0,0,0,-44.08,5.46,0,0,0,0
119,0,0,0,-43.25,6.01,0,0,0,0
120,0,0,0,-42.42,6.57,0,0,0,0
121,0,0,0,-41.59,7.13,0,0,0,0
122,0,0,0,-40.76,7.69,0,0,0,0
123,0,0,0,-39.93,8.24,0,0,0,0
124,0,0,0,-39.1,8.8,0,0,0,0
125,0,0,0,-38.27,9.36,0,0,0,0
126,0,0,0,-37.44,9.92,0,0,0,0
127,0,0,0,-36.61,10.48,0,0,0,0
128,0,0,0,-35.78,11.03,0,0,0,0
129,0,0,0,-34.95,11.59,0,0,0,0
130,0,0,0,-34.55,11.86,0,0,0,0
131,0,0,0,-33.71,12.41,0,0,0,0
132,0,0,0,-32.88,12.96,0,0,0,0
133,0,0,0,-32.04,13.51,0,0,0,0
134,0,0,0,-31.2,14.05,0,0,0,0
135,0,0,0,-30.37,14.6,0,0,0,0
136,0,0,0,-29.53,15.15,0,0,0,0
137,0,0,0,-28.69,15.7,0,0,0,0
138,0,0,0,-27.86,16.25,0,0,0,0
139,0,0,0,-27.02,16.79,0,0,0,0
140,0,0,0,-26.18,17.34,0,0,0,0
141,0,0,0,-25.35,17.89,0,0,0,0
142,0,0,0,-25.16,18.02,0,0,0,0
143,0,0,0,-24.28,18.51,0,0,0,0
144,0,0,0,-23.41,19,0,0,0,0
145,0,0,0,-22.54,19.49,0,0,0,0
146,0,0,0,-21.67,19.98,0,0,0,0
147,0,0,0,-20.8,20.47,0,0,0,0
148,0,0,0,-19.93,20.96,0,0,0,0
149,0,0,0,-19.05,21.45,0,0,0,0
150,0,0,0,-18.18,21.94,0,0,0,0
151,0,0,0,-17.31,22.43,0,0,0,0
152,0,0,0,-16.44,22.92,0,0,0,0
153,0,0,0,-15.57,23.41,0,0,0,0
154,0,0,0,-14.7,23.9,0,0,0,0
155,0,0,0,-13.83,24.39,0,0,0,0
156,0,0,0,-12.95,24.88,0,0,0,0
157,0,0,0,-12.08,25.37,0,0,0,0
158,0,0,0,-11.21,25.86,0,0,0,0
159,0,0,0,-10.34,26.35,0,0,0,0
160,0,0,0,-9.47,26.84,0,0,0,0
161,0,0,0,-8.6,27.33,0,0,0,0
162,0,0,0,-7.79,27.78,0,0,0,0
163,0,0,0,-6.84,28.08,0,0,0,0
164,0,0,0,-5.87,28.33,0,0,0,0
165,0,0,0,-4.89,28.53,0,0,0,0
166,0,0,0,-3.9,28.68,0,0,0,0
167,0,0,0,-2.91,28.81,0,0,0,0
168,0,0,0,-1.91,28.9,0,0,0,0
169,0,0,0,-0.92,28.97,0,0,0,0
170,0,0,0,0.08,29.02,0,0,0,0
171,0,0,0,1.08,29.05,0,0,0,0
172,0,0,0,2.08,29.06,0,0,0,0
173,0,0,0,3.08,29.06,0,0,0,0
174,0,0,0,4.08,29.05,0,0,0,0
175,0,0,0,5.08,29.03,0,0,0,0
176,0,0,0,6.08,29,0,0,0,0
177,0,0,0,7.08,28.96,0,0,0,0
178,0,0,0,8.08,28.91,0,0,0,0
179,0,0,0,9.08,28.86,0,0,0,0
180,0,0,0,10.08,28.8,0,0,0,0
181,0,0,0,11.07,28.75,0,0,0,0
182,0,0,0,12.07,28.69,0,0,0,0
183,0,0,0,13.07,28.63,0,0,0,0
184,0,0,0,14.07,28.57,0,0,0,0
185,0,0,0,15.07,28.52,0,0,0,0
186,0,0,0,16.07,28.46,0,0,0,0
187,0,0,0,17.07,28.42,0,0,0,0
188,0,0,0,18.06,28.38,0,0,0,0
189,0,0,0,19.06,28.36,0,0,0,0
190,0,0,0,20.06,28.35,0,0,0,0
191,0,0,0,21.06,28.36,0,0,0,0
192,0,0,0,22.06,28.4,0,0,0,0
193,0,0,0,22.59,28.43,0,0,0,0
194,0,0,0,23.59,28.44,0,0,0,0
195,0,0,0,24.59,28.45,0,0,0,0
196,0,0,0,25.59,28.46,0,0,0,0
197,0,0,0,26.59,28.47,0,0,0,0
198,0,0,0,27.59,28.48,0,0,0,0
199,0,0,0,28.59,28.49,0,0,0,0
200,0,0,0,29.59,28.5,0,0,0,0
201,0,0,0,30.59,28.51,0,0,0,0
202,0,0,0,31.59,28.52,0,0,0,0
203,0,0,0,32.59,28.53,0,0,0,0
204,0,0,0,33.59,28.54,0,0,0,0
205,0,0,0,34.59,28.55,0,0,0,0
206,0,0,0,35.59,28.56,0,0,0,0
207,0,0,0,36.59,28.57,0,0,0,0
208,0,0,0,37.59,28.58,0,0,0,0
209,0,0,0,38.59,28.59,0,0,0,0
210,0,0,0,39.59,28.6,0,0,0,0
211,0,0,0,40.59,28.61,0,0,0,0
212,0,0,0,41.59,28.62,0,0,0,0
213,0,0,0,42.59,28.63,0,0,0,0
214,0,0,0,43.59,28.64,0,0,0,0
215,0,0,0,44.59,28.65,0,0,0,0
216,0,0,0,45.59,28.66,0,0,0,0
217,0,0,0,46.59,28.67,0,0,0,0
218,0,0,0,47.59,28.68,0,0,0,0
219,0,0,0,48.59,28.69,0,0,0,0
220,0,0,0,49.59,28.7,0,0,0,0
221,0,0,0,50.59,28.71,0,0,0,0
222,0,0,0,51.59,28.71,0,0,0,0
223,0,0,0,52.59,28.71,0,0,0,0
224,0,0,0,53.59,28.71,0,0,0,0
225,0,0,0,54.59,28.71,0,0,0,0
226,0,0,0,55.59,28.71,0,0,0,0
227,0,0,0,56.59,28.7,0,0,0,0
228,0,0,0,57.59,28.7,0,0,0,0
229,0,0,0,58.59,28.7,0,0,0,0
230,0,0,0,59.59,28.7,0,0,0,0
231,0,0,0,60.59,28.7,0,0,0,0
232,0,0,0,61.59,28.7,0,0,0,0
233,0,0,0,61.9,28.7,0,0,0,0
234,0,0,0,1.45,-34.33,0,0,0,0
235,0,0,0,1.38,-33.33,0,0,0,0
236,0,0,0,1.31,-32.34,0,0,0,0
237,0,0,0,1.23,-31.34,0,0,0,0
238,0,0,0,1.16,-30.34,0,0,0,0
239,0,0,0,1.09,-29.34,0,0,0,0
240,0,0,0,1.02,-28.35,0,0,0,0
241,0,0,0,0.95,-27.35,0,0,0,0
242,0,0,0,0.88,-26.35,0,0,0,0
243,0,0,0,0.81,-25.35,0,0,0,0
244,0,0,0,0.74,-24.36,0,0,0,0
245,0,0,0,0.67,-23.36,0,0,0,0
246,0,0,0,0.6,-22.36,0,0,0,0
247,0,0,0,0.53,-21.36,0,0,0,0
248,0,0,0,0.46,-20.37,0,0,0,0
249,0,0,0,0.39,-19.37,0,0,0,0
250,0,0,0,0.32,-18.37,0,0,0,0
251,0,0,0,0.24,-17.37,0,0,0,0
252,0,0,0,0.17,-16.38,0,0,0,0
253,0,0,0,0.1,-15.38,0,0,0,0
254,0,0,0,0.03,-14.38,0,0,0,0
255,0,0,0,-0.04,-13.38,0,0,0,0
256,0,0,0,-0.11,-12.39,0,0,0,0
257,0,0,0,-0.18,-11.39,0,0,0,0
258,0,0,0,-0.25,-10.39,0,0,0,0
259,0,0,0,-0.32,-9.39,0,0,0,0
260,0,0,0,-0.39,-8.4,0,0,0,0
261,0,0,0,-0.46,-7.4,0,0,0,0
262,0,0,0,-0.53,-6.4,0,0,0,0
263,0,0,0,-0.6,-5.4,0,0,0,0
264,0,0,0,-0.67,-4.41,0,0,0,0
265,0,0,0,-0.75,-3.41,0,0,0,0
266,0,0,0,-0.82,-2.41,0,0,0,0
267,0,0,0,-0.89,-1.41,0,0,0,0
268,0,0,0,-0.96,-0.42,0,0,0,0
269,0,0,0,-1.03,0.58,0,0,0,0
270,0,0,0,-1.1,1.58,0,0,0,0
271,0,0,0,-1.17,2.58,0,0,0,0
272,0,0,0,-1.24,3.57,0,0,0,0
273,0,0,0,-1.31,4.57,0,0,0,0
274,0,0,0,-1.38,5.57,0,0,0,0
275,0,0,0,-1.45,6.57,0,0,0,0
276,0,0,0,-1.52,7.56,0,0,0,0
277,0,0,0,-1.59,8.56,0,0,0,0
278,0,0,0,-1.66,9.56,0,0,0,0
279,0,0,0,-1.73,10.56,0,0,0,0
280,0,0,0,-1.81,11.55,0,0,0,0
281,0,0,0,-1.88,12.55,0,0,0,0
282,0,0,0,-1.95,13.55,0,0,0,0
283,0,0,0,-2.02,14.55,0,0,0,0
284,0,0,0,-2.09,15.54,0,0,0,0
285,0,0,0,-2.16,16.54,0,0,0,0
286,0,0,0,-2.28,17.38,0,0,0,0
287,0,0,0,-2.39,18.52,0,0,0,0
288,0,0,0,-2.53,19.29,0,0,0,0
289,0,0,0,-2.73,20.07,0,0,0,0
290,0,0,0,-2.86,20.78,0,0,0,0
291,0,0,0,-3.19,21.79,0,0,0,0
292,0,0,0,-3.46,22.73,0,0,0,0
293,0,0,0,-3.91,23.26,0,0,0,0
294,0,0,0,-4.53,23.8,0,0,0,0
295,0,0,0,-5.29,24.31,0,0,0,0
296,0,0,0,-6.17,24.56,0,0,0,0
297,0,0,0,-6.87,24.53,0,0,0,0
298,0,0,0,-7.53,24.34,0,0,0,0
299,0,0,0,-8.54,24.07,0,0,0,0
